Time Stamp,Name,Load
01/01/2004 00:51:47,MILLWD,211
01/01/2004 00:51:47,N.Y.C._LONGIL,6899
01/01/2004 00:51:47,NORTH,634
01/01/2004 00:51:47,WEST,1538
01/01/2004 00:55:17,CAPITL,1003
01/01/2004 00:55:17,CENTRL,1583
01/01/2004 00:55:17,DUNWOD,579
01/01/2004 00:55:17,GENESE,918
01/01/2004 00:55:17,HUD VL,1058
01/01/2004 00:55:17,MHK VL,571
01/01/2004 00:55:17,MILLWD,202
01/01/2004 00:55:17,N.Y.C._LONGIL,6879
01/01/2004 00:55:17,NORTH,644
01/01/2004 00:55:17,WEST,1530
01/01/2004 01:00:00,CAPITL,927
01/01/2004 01:00:00,CENTRL,1562
01/01/2004 01:00:00,DUNWOD,568
01/01/2004 01:00:00,GENESE,905
01/01/2004 01:00:00,HUD VL,1019
01/01/2004 01:00:00,MHK VL,602
01/01/2004 01:00:00,MILLWD,201
01/01/2004 01:00:00,N.Y.C._LONGIL,6778
01/01/2004 01:00:00,NORTH,628
01/01/2004 01:00:00,WEST,1516
01/01/2004 01:11:47,CAPITL,931
01/01/2004 01:11:47,CENTRL,1543
01/01/2004 01:11:47,DUNWOD,571
01/01/2004 01:11:47,GENESE,895
01/01/2004 01:11:47,HUD VL,1023
01/01/2004 01:11:47,MHK VL,589
01/01/2004 01:11:47,MILLWD,207
01/01/2004 01:11:47,N.Y.C._LONGIL,6742
01/01/2004 01:11:47,NORTH,624
01/01/2004 01:11:47,WEST,1509
01/01/2004 01:16:47,CAPITL,907
01/01/2004 01:16:47,CENTRL,1549
01/01/2004 01:16:47,DUNWOD,566
01/01/2004 01:16:47,GENESE,895
01/01/2004 01:16:47,HUD VL,1030
01/01/2004 01:16:47,MHK VL,593
01/01/2004 01:16:47,MILLWD,201
01/01/2004 01:16:47,N.Y.C._LONGIL,6722
01/01/2004 01:16:47,NORTH,629
01/01/2004 01:16:47,WEST,1512
01/01/2004 01:18:17,CAPITL,907
01/01/2004 01:18:17,CENTRL,1561
01/01/2004 01:18:17,DUNWOD,569
01/01/2004 01:18:17,GENESE,891
01/01/2004 01:18:17,HUD VL,1007
01/01/2004 01:18:17,MHK VL,592
01/01/2004 01:18:17,MILLWD,199
01/01/2004 01:18:17,N.Y.C._LONGIL,6680
01/01/2004 01:18:17,NORTH,629
01/01/2004 01:18:17,WEST,1512
01/01/2004 01:23:17,CAPITL,918
01/01/2004 01:23:17,CENTRL,1530
01/01/2004 01:23:17,DUNWOD,557
01/01/2004 01:23:17,GENESE,891
01/01/2004 01:23:17,HUD VL,999
01/01/2004 01:23:17,MHK VL,588
01/01/2004 01:23:17,MILLWD,200
01/01/2004 01:23:17,N.Y.C._LONGIL,6670
01/01/2004 01:23:17,NORTH,624
01/01/2004 01:23:17,WEST,1509
01/01/2004 01:24:47,CAPITL,908
01/01/2004 01:24:47,CENTRL,1532
01/01/2004 01:24:47,DUNWOD,562
01/01/2004 01:24:47,GENESE,892
01/01/2004 01:24:47,HUD VL,996
01/01/2004 01:24:47,MHK VL,582
01/01/2004 01:24:47,MILLWD,201
01/01/2004 01:24:47,N.Y.C._LONGIL,6643
01/01/2004 01:24:47,NORTH,624
01/01/2004 01:24:47,WEST,1495
01/01/2004 01:29:17,CAPITL,918
01/01/2004 01:29:17,CENTRL,1531
01/01/2004 01:29:17,DUNWOD,567
01/01/2004 01:29:17,GENESE,878
01/01/2004 01:29:17,HUD VL,1004
01/01/2004 01:29:17,MHK VL,576
01/01/2004 01:29:17,MILLWD,190
01/01/2004 01:29:17,N.Y.C._LONGIL,6627
01/01/2004 01:29:17,NORTH,618
01/01/2004 01:29:17,WEST,1495
01/01/2004 01:34:17,CAPITL,904
01/01/2004 01:34:17,CENTRL,1538
